id,acc_app_id,area,acc_activity_id,level2,actividad,organization_name
10921,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
10922,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
10923,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
10924,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
10925,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
10926,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
10971,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10975,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10976,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10977,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10980,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10982,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10984,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10986,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10987,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10989,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10990,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10992,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10993,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10994,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10995,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10996,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10997,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10998,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
10999,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
11000,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
11001,1044,LABORATORIOS,12,2012,ENSAYOS,EP-EMAPA-A
11011,1008,INSPECCIÓN,7,262,INSPECCION,Laboratorio Institucional de Análisis de Vehículos y Movilidad Sostenible - LIAVMS
11012,1008,INSPECCIÓN,7,262,INSPECCION,Laboratorio Institucional de Análisis de Vehículos y Movilidad Sostenible - LIAVMS
11070,1002,INSPECCIÓN,7,261,INSPECCION,SIDICESA S.A.
11071,1002,INSPECCIÓN,7,259,INSPECCION,SIDICESA S.A.
11072,130,INSPECCIÓN,7,262,INSPECCION,Vehicle Safety Automotive - VSA
11073,130,INSPECCIÓN,7,262,INSPECCION,Vehicle Safety Automotive - VSA
11079,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11081,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11082,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11083,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11084,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11085,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11086,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11087,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11088,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11089,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11090,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11091,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11095,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11096,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11097,613,INSPECCIÓN,7,261,INSPECCION,MINGA S.A.
11098,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11099,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11100,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11101,613,INSPECCIÓN,7,261,INSPECCION,MINGA S.A.
11103,613,INSPECCIÓN,7,261,INSPECCION,MINGA S.A.
11104,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11105,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11106,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11107,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11108,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11109,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11110,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11111,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11112,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11113,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11114,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11115,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11116,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11117,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11119,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11120,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11121,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11123,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11124,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11127,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11128,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11129,1246,LABORATORIOS,12,2012,ENSAYOS,METROLOGIC
11130,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11131,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11132,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11140,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11141,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11149,613,INSPECCIÓN,7,261,INSPECCION,MINGA S.A.
11150,613,INSPECCIÓN,7,261,INSPECCION,MINGA S.A.
11152,1228,LABORATORIOS,12,1865,ENSAYOS,SertinLab
11154,1228,LABORATORIOS,12,1865,ENSAYOS,SertinLab
11155,1228,LABORATORIOS,12,1865,ENSAYOS,SertinLab
11159,1242,INSPECCIÓN,7,261,INSPECCION,BEST-INSPECTION S A
11160,1242,INSPECCIÓN,7,261,INSPECCION,BEST-INSPECTION S A
11161,1242,INSPECCIÓN,7,261,INSPECCION,BEST-INSPECTION S A
11162,1242,INSPECCIÓN,7,261,INSPECCION,BEST-INSPECTION S A
11163,1242,INSPECCIÓN,7,259,INSPECCION,BEST-INSPECTION S A
11164,1242,INSPECCIÓN,7,259,INSPECCION,BEST-INSPECTION S A
11165,511,LABORATORIOS,1,759,CALIBRACIÓN,Rivalesa S.A.
11166,511,LABORATORIOS,1,759,CALIBRACIÓN,Rivalesa S.A.
11167,511,LABORATORIOS,1,759,CALIBRACIÓN,Rivalesa S.A.
11170,511,LABORATORIOS,1,384,CALIBRACIÓN,Rivalesa S.A.
11172,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11173,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11174,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11175,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11176,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11178,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11179,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11181,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11182,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11184,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11192,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11193,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11194,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11195,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11196,774,LABORATORIOS,12,2012,ENSAYOS,WSS WORLD SURVEY SERVICES
11197,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11198,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11200,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11202,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11203,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11205,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11206,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11208,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11209,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11210,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11215,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11220,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11221,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11223,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11225,774,LABORATORIOS,12,2012,ENSAYOS,WSS WORLD SURVEY SERVICES
11226,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11227,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11230,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11231,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11232,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11233,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11234,774,LABORATORIOS,12,2012,ENSAYOS,WSS WORLD SURVEY SERVICES
11235,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11236,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11237,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11238,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11239,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11240,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11241,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11242,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11243,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11244,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11245,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11246,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11247,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11248,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11249,774,LABORATORIOS,12,2012,ENSAYOS,WSS WORLD SURVEY SERVICES
11250,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11251,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11252,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11254,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11255,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11256,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11257,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11258,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11259,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
11261,774,LABORATORIOS,12,1865,ENSAYOS,WSS WORLD SURVEY SERVICES
