id,acc_app_id,area,acc_activity_id,actividad,organization_name,pais,province_id,provincia,canton
3585,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3586,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3588,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3589,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3591,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3592,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3593,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3594,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3595,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3596,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3597,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3599,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3600,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3602,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3603,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3604,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3606,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
3607,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22618,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22619,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22620,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22621,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22622,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22623,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
